speaker_name,party,language,mep_id,role,text,alignment,orientation,translated,translated_text,label
Jean-Marc | Germain,S-D,FR,256901,au nom du groupe,"Monsieur le Président, mes chers collègues, Monsieur le Commissaire, ce moment fera date: entre groupes pro-européens de cette assemblée, nous nous sommes mis d'accord sur des choix budgétaires puissants pour l'avenir de la construction européenne. Je veux rendre hommage au travail de nos deux corapporteurs, Carla Tavares et Siegfried Mureşan, ainsi qu'à celui de l'équipe des rapporteurs fictifs. Ensemble, socialistes, écologistes, Renew et PPE, nous demandons de briser le plafond de 1 % du PIB qui muselle les ambitions européennes, faute de moyens financiers. Ensemble, nous demandons des ressources nouvelles propres affectées au budget européen. Ensemble, nous considérons que l'emprunt européen constitue une option viable pour faire face aux crises de dimension européenne. Ensemble, nous refusons ce funeste projet qui constitue à conditionner les fonds européens à des réformes nationales imposées par Bruxelles: elles n'aboutiraient à rien d'autre qu'à abîmer l'idée même d'Europe. Monsieur le Commissaire, lors de votre audition, vous avez énoncé cette évidence: on ne peut pas tout à la fois répondre aux urgences, rembourser la dette COVID et ne pas augmenter les ressources du budget européen. Vous avez désormais une réponse claire du Parlement européen à ce dilemme: l'exigence d'un changement d'échelle du budget européen. J'ajoute ceci, au nom du groupe S&D: à l'heure où vous allez, à votre tour, élaborer la trajectoire budgétaire européenne, soyez certain de notre détermination. Nous ne donnerons pas notre consentement à un budget qui ne permettrait pas la constitution d'une défense européenne suffisamment puissante pour ne plus dépendre de celle des États-Unis. Nous ne donnerons pas notre consentement à un budget qui ne financerait pas les investissements nécessaires à la décarbonation des économies, qui sont la clé de la réussite du pacte vert sans casse sociale. Nous ne donnerons pas notre consentement à un budget qui sacrifierait le social et la cohésion ou ne protégerait pas suffisamment l'agriculture et les emplois européens, faute de moyens pour la recherche, l'innovation et les entreprises. La politique exige le dialogue – nous serons au rendez-vous –, mais demande aussi la clarté. La voici énoncée.",Center-Left,Left,True,"Mr. Chairman, dear colleagues, Commissioner, this is a landmark moment: between the pro-European groups in this assembly, we have agreed on powerful budgetary choices for the future of European construction. I would like to pay tribute to the work of our two co-rapporteurs, Carla Tavares and Siegfried Mureşan, and to that of the team of shadow rapporteurs. Together, Socialists, Ecologists, Renew and EPP, we are calling for the 1% GDP ceiling that muzzles European ambitions due to a lack of financial resources to be broken. Together, we call for new resources to be allocated to the European budget. Together, we see the European loan as a viable option for dealing with crises of European dimension. Together, we reject the disastrous plan to make European funds conditional on national reforms imposed by Brussels, which would do nothing but undermine the very idea of Europe. Commissioner, during your hearing, you stated the obvious: we can't respond to emergencies, repay the COVID debt and not increase European budget resources all at the same time. You now have a clear response from the European Parliament to this dilemma: the demand for a change in the scale of the European budget. On behalf of the S&D Group, I would like to add that as you draw up the European budget trajectory, you can be sure of our determination. We will not give our consent to a budget that does not allow for the creation of a European defense sufficiently powerful to no longer depend on that of the United States. We will not give our consent to a budget that does not finance the investments needed to decarbonize economies, which are the key to the success of the green pact without social breakdown. We will not give our consent to a budget that sacrifices social cohesion or fails to adequately protect European agriculture and jobs, due to a lack of resources for research, innovation and business. Politics demands dialogue - we'll be there - but it also demands clarity. Here it is.",-0.5
Julien | Sanchez,PfE,FR,88552,au nom du groupe,"Monsieur le Président, nous débattons aujourd'hui des orientations politiques du prochain cadre financier pluriannuel (CFP) pour les années 2028 à 2035. Ce CFP ne peut pas se résumer à une reconduction des erreurs du passé. Ce que nous constatons aujourd'hui, c'est un budget de l'Union devenu illisible, morcelé par des instruments exceptionnels et affaibli par une absence criante de contrôle. Je citerai Next Generation EU qui, bien que doté de 800 milliards d'euros, est hors de contrôle du Parlement. Ce modèle budgétaire a été sévèrement critiqué par la Cour des comptes européenne pour ses lacunes en matière de transparence, de gestion et de résultats concrets. Le mécanisme de la FRR en est un cruel exemple. Présenté à tort comme un succès, il s'est révélé être au contraire une aberration. Conçu sans évaluation sérieuse, exposé à des risques massifs de fraude et mis en œuvre avec un contrôle parlementaire réduit au strict minimum, il illustre les dérives d'un budget construit hors des règles démocratiques fondamentales. Pourtant, la Commission propose aujourd'hui de le généraliser. C'est inacceptable. Il faut que chacun s'y oppose ici. Votre rapport le reconnaît lui-même: le budget actuel est structurellement inadapté pour faire face aux défis majeurs de notre époque. Rappelons que, si nous sommes dans cette situation, c'est à cause de la majorité de ce Parlement. Il est temps de remettre au cœur du budget les véritables priorités des citoyens européens. C'est ce que nous défendrons avec, en premier lieu, le soutien à l'agriculture, garante de notre indépendance, de notre souveraineté alimentaire, mais aussi de notre santé publique. Autre priorité majeure, le soutien à la compétitivité de nos entreprises. Cela passe d'abord par la suspension du pacte vert qu'a demandée notre président Jordan Bardella. Les groupes ECR et ESN ont signé notre appel à suspendre le pacte vert: qu'attend le PPE? Le pacte vert est un dogme qui asphyxie nos entreprises, met nos agriculteurs en difficulté et augmente le coût de la vie. Autre priorité, le soutien à la sécurité de nos frontières et à la lutte contre l'immigration-invasion massive qui bouleverse les modes de vie et crée une société conflictuelle dont nous ne voulons pas. Interrogez les Européens par référendum sur ce sujet: vous verrez le résultat. Ils veulent une Europe européenne. Ils veulent aussi une Europe qui réaffirme ses racines chrétiennes, alors que le fondamentalisme islamique gagne ici du terrain à cause de vos politiques migratoires. Nos priorités sont urgentes et profondément enracinées dans la réalité quotidienne. On pourrait aussi parler du rattrapage nécessaire sur l'intelligence artificielle et les nouvelles technologies. Le CFP doit aussi respecter les États membres, soutenir leurs choix démocratiques, stopper le chantage de la conditionnalité. Nous nous opposerons, enfin, dans le CFP, à toute nouvelle ressource propre. En effet, de très nombreuses économies devraient plutôt être faites, sans parler du taux d'erreur dans les dépenses, de 5,6 %. Le budget actuel n'est pas géré. Au lieu de vouloir créer de nouvelles ressources propres qui seront encore des taxes ou des impôts pour nos concitoyens, créez plutôt un DOGE européen. Nous serons heureux de nous en occuper.",Right,Right,True,"Mr. Chairman, today we are debating the political guidelines for the next Multiannual Financial Framework (MFF) for the years 2028 to 2035. This MFF cannot be reduced to a continuation of past mistakes. What we see today is a Union budget that has become illegible, fragmented by exceptional instruments and weakened by a glaring lack of control. Let me cite Next Generation EU, which, despite being endowed with 800 billion euros, is beyond the control of Parliament. This budgetary model has been severely criticized by the European Court of Auditors for its shortcomings in terms of transparency, management and concrete results. The FRR mechanism is a cruel example. Wrongly presented as a success, it turned out to be an aberration. Conceived without serious evaluation, exposed to massive risks of fraud and implemented with parliamentary control reduced to the bare minimum, it illustrates the excesses of a budget built outside fundamental democratic rules. Yet today, the Commission is proposing to generalize it. This is unacceptable. Everyone here must oppose it. Your report itself acknowledges that the current budget is structurally inadequate to meet the major challenges of our time. Let's not forget that, if we are in this situation, it's because of the majority in this Parliament. It's time to put the real priorities of Europe's citizens back at the heart of the budget. This is what we will be defending, starting with support for agriculture, the guarantor of our independence and food sovereignty, and also of our public health. Another major priority is to support the competitiveness of our businesses. This means first and foremost suspending the Green Pact, as called for by our President Jordan Bardella. The ECR and ESN groups have signed our call to suspend the green pact: what is the EPP waiting for? The green pact is a dogma that suffocates our businesses, puts our farmers in difficulty and increases the cost of living. Another priority is to support the security of our borders and the fight against mass immigration-invasion, which is disrupting our way of life and creating a conflictive society we don't want. Ask Europeans in a referendum on this subject: you'll see the result. They want a European Europe. They also want a Europe that reaffirms its Christian roots, at a time when Islamic fundamentalism is gaining ground here because of your migration policies. Our priorities are urgent and deeply rooted in everyday reality. We could also talk about the need to catch up on artificial intelligence and new technologies. The MFF must also respect member states, support their democratic choices, and put an end to the blackmail of conditionality. Finally, we will oppose any new own resources in the MFF. Indeed, there are many savings to be made, not to mention the 5.6% error rate in expenditure. The current budget is not managed. Instead of trying to create new own resources that will still be taxes for our fellow citizens, create a European DOGE instead. We'll be happy to take care of it.",1.0
Bogdan | Rzońca,ECR,PL,197545,au nom du groupe,"Panie Przewodniczący! Panie Komisarzu! Wydaje nam się, że ten dokument jest zbyt mało odważny jak na bardzo trudne czasy, z którymi mamy do czynienia. Trzeba przede wszystkim urealnić wydatki. Oszczędzać tam, gdzie można. Na przykład budżetowanie genderowe nie jest pierwszą potrzebą. Pozostawanie w objęciach zielonego ładu to błąd gospodarczy zabijający przedsiębiorczość, prowadzący do ucieczki firm z Unii Europejskiej na inne kontynenty. Dekarbonizacja, taka dekarbonizacja doktrynalna to też błąd. Węgiel i gaz mają przecież naturalne pochodzenie. Są pewnym źródłem energii. Elektrownie węglowe i gazowe w USA są prawie zeroemisyjne. A farmy wiatrowe, fotowoltaika są coraz droższe, bo coraz droższe są metale rzadkie, bo coraz droższa jest energia. I z tym jest niekończący się problem. Zasoby własne to też trudny problem, bo wielu mówi o tym, że dobrze by było, żeby było więcej niż 1 procent. Ale kto chce zapłacić? No nie ma za wielu chętnych do płacenia do budżetu i do zwiększenia tej wielkości. Więc tutaj to jest taka trochę czcza mowa. Więc co się proponuje? Kolejny dług. I to jest, moim zdaniem, potworny błąd, kardynalny błąd Unii Europejskiej, kiedy mówimy nawet przy szczytnych celach, że na obronność, na bezpieczeństwo zaciągniemy wspólny dług. No ale wiemy już, że Komisja Europejska urwała się Parlamentowi Europejskiemu, że rządzi sama, że nie słucha Parlamentu Europejskiego i może czasem szantażować poszczególne kraje i powiedzieć, a tym krajom pomożemy na wypadek wu, a tym nie pomożemy. I tego się bardzo obawiamy. Więc dajmy więcej siły państwom narodowym w Unii Europejskiej. Unia będzie lepsza i budżet będzie lepszy.",Right,Right,True,"Mr. Chairman, Mr. Commissioner, the document is not a good one. It seems to us that this document is not bold enough for the very difficult times we are facing. It is necessary, above all, to make spending more realistic. Make savings where you can. For example, gender budgeting is not the first need. Staying in the embrace of the green deal is an economic mistake that kills entrepreneurship, leading to the flight of companies from the European Union to other continents. Decarbonization, such doctrinal decarbonization, is also a mistake. After all, coal and gas have a natural origin. They are a reliable source of energy. Coal and gas-fired power plants in the U.S. are almost zero-emission. And wind farms, photovoltaics are getting more and more expensive, because rare metals are getting more and more expensive, because energy is getting more and more expensive. And there is a never-ending problem with that. Indigenous resources are also a difficult problem, because many talk about how good it would be to have more than 1 percent. But who wants to pay? Well, there aren't too many people willing to pay into the budget and to increase that amount. So here it is such a bit of idle talk. So what is being proposed? Another debt. And this is, in my opinion, a monstrous mistake, a cardinal mistake of the European Union, when we say even with noble goals that for defense, for security we will incur a common debt. Well, but we already know that the European Commission has broken away from the European Parliament, that it governs itself, that it doesn't listen to the European Parliament, and it can sometimes blackmail individual countries and say, and these countries we will help in case of wu, and these countries we won't help. And that's what we're very afraid of. So let's give more power to the nation states in the European Union. The Union will be better and the budget will be better.",0.7
Rasmus | Nordqvist,Verts/ALE,EN,257044,au nom du groupe,"Mr President, thank you to the co-rapporteurs, and thank you to good colleagues who have been working on collaborating on this report, which sends a very clear message – that Europe should not settle for less, we need to be bold. What we are discussing here today is not about figures, it is about people. It is about the future that we want for our children, for our communities and for our planet. In this report, we urge the Commission to ensure that the green transition does not stall, but accelerates. That we invest not only in clean energy and climate resilience, but also in people, in green jobs, in education, in fair opportunities across regions because no one should be left behind. Fairness and sustainability cannot succeed without strength. We need an economy that is competitive, innovative and forward looking. And a strong economy is not in opposition to climate and social justice – they are interlinked. So yes, we call for a larger and more focused EU budget, one that reflects the real needs of people, regions and businesses, and a budget that protects what matters: our environment, our health and our future. Above all, we call for a budget that brings citizens on board, that keeps civil society involved, upholds our values, and shows that the EU is not just an institution, but an actual promise.",Center-Left,Left,True,"Mr President, thank you to the co-rapporteurs, and thank you to good colleagues who have been working on collaborating on this report, which sends a very clear message – that Europe should not settle for less, we need to be bold. What we are discussing here today is not about figures, it is about people. It is about the future that we want for our children, for our communities and for our planet. In this report, we urge the Commission to ensure that the green transition does not stall, but accelerates. That we invest not only in clean energy and climate resilience, but also in people, in green jobs, in education, in fair opportunities across regions because no one should be left behind. Fairness and sustainability cannot succeed without strength. We need an economy that is competitive, innovative and forward looking. And a strong economy is not in opposition to climate and social justice – they are interlinked. So yes, we call for a larger and more focused EU budget, one that reflects the real needs of people, regions and businesses, and a budget that protects what matters: our environment, our health and our future. Above all, we call for a budget that brings citizens on board, that keeps civil society involved, upholds our values, and shows that the EU is not just an institution, but an actual promise.",-0.7
João | Oliveira,The Left,PT,257083,au nom du groupe,"Senhor Presidente, as propostas que apresentámos a este relatório do quadro financeiro plurianual afirmam uma alternativa com prioridades claras: prioridade à coesão económica, social e territorial e à sua consideração como princípio transversal do orçamento plurianual da União Europeia; prioridade a objetivos como os do pleno emprego, da elevação das condições de vida dos trabalhadores ou da erradicação da pobreza; prioridade à resposta a questões sociais, como o financiamento de políticas de acesso à habitação, de investimento nos serviços públicos, de reforço da garantia para a infância; prioridade ao apoio a políticas nacionais de desenvolvimento e aproveitamento de recursos e capacidades produtivas, com destaque para a necessidade de uma política de reindustrialização e de apoio aos setores produtivos, à agricultura familiar, à pequena pesca artesanal e costeira. Em sentido contrário, este relatório aponta para os fundos europeus, opções que acentuam a secundarização das necessidades dos povos, que não garantem aos Estados condições de desenvolvimento e de correção das assimetrias dos países menos desenvolvidos face aos mais desenvolvidos, que arrastam os povos para prioridades contrárias aos seus interesses e direitos, como as do militarismo e da guerra, que aprofundam os mecanismos de imposição e condicionamento político dos Estados-Membros pela União Europeia. O relatório do Parlamento Europeu apela para um aumento do orçamento da União Europeia, mas as áreas para as quais é reclamado especificamente esse aumento são as da defesa, da segurança, do controlo de fronteiras, da competitividade. Dando prioridade a essa agenda militarista e securitária e aos interesses das multinacionais, fica para trás tudo o resto. Este não é o caminho de que os povos precisam. Estas não são as opções de um quadro financeiro plurianual que sirva os interesses dos povos.",Left,Left,True,"Mr. President, the proposals that we have presented to this report on the multiannual financial framework affirm an alternative with clear priorities: priority to economic, social and territorial cohesion and its consideration as a transversal principle of the European Union's multiannual budget; priority to objectives such as full employment, raising the living conditions of workers or eradicating poverty; priority for responding to social issues, such as financing policies for access to housing, investment in public services, strengthening guarantees for children; priority for supporting national policies for the development and use of resources and productive capacities, with emphasis on the need for a policy of reindustrialization and support for productive sectors, family farming, small-scale and coastal fishing. In the opposite direction, this report points to European funds, options that accentuate the marginalization of the needs of the peoples, that do not guarantee the States conditions for development and for correcting the asymmetries of the less developed countries in relation to the more developed ones, that drag the peoples towards priorities that are contrary to their interests and rights, such as those of militarism and war, that deepen the mechanisms of imposition and political conditioning of the Member States by the European Union. The European Parliament's report calls for an increase in the European Union's budget, but the areas for which this increase is specifically called for are defense, security, border control and competitiveness. By prioritizing this militaristic and security agenda and the interests of multinationals, everything else is left behind. This is not the path the people need. These are not the options for a multiannual financial framework that serves the interests of the people.",-1.0
Milan | Uhrík,ESN,SK,197763,au nom du groupe,"Vážený pán predsedajúci, naozaj si myslíte, že to ľudia ešte zvládnu? Konsolidácia, zdražovanie, inflácia. A teraz žiadate ešte od nich aj nové európske dane. Žijete vy aspoň trošku, pán Hojsík napríklad, v kontakte s realitou, keď máte tú drzosť žiadať od občanov pre Brusel ešte nové dane. A povedzte mi, načo nám viacej zbraní, na imigrantov, na vysoké platy pre eurokomisárov? Na veci, ktoré doteraz zlyhávali? Ja si myslím, že toto rozhodne nie sú priority. A dokonca máte tú drzosť v tom návrhu rozpočtu žiadať ešte vytvorenie novej verejnej správy Európskej únie s viac zamestnancami a vyšším rozpočtom, čiže ešte viac úradníkov s ešte vyššími platmi. Kde sú byty pre mladých? Kde je podpora tradičnej rodiny, kde je vyrovnávanie životnej úrovne medzi našimi krajinami a Západom? Nikde. Za Slovákov hovorím, že my nechceme platiť nové a vyššie dane pre Ursulu von der Leyenovú. My chceme vyrovnanie životnej úrovne našich krajín so Západom, pretože ceny západné už máme.",Right,Right,True,"Mr President, do you really think that people will still be able to cope with this? Consolidation, rising prices, inflation. And now you are asking them to pay new European taxes. Are you, Mr Hojsík, for example, in touch with reality at least a little bit, when you have the audacity to ask the citizens for more new taxes for Brussels. Tell me, why do we need more weapons, more immigrants, more high salaries for European Commissioners? For things that have so far failed? I think that these are definitely not priorities. And you even have the audacity in that draft budget to ask for the creation of a new European Union administration with more staff and a higher budget, that is to say, even more officials with even higher salaries. Where are the apartments for young people? Where is the support for the traditional family, where is the levelling out of living standards between our countries and the West? Nowhere. I speak for the Slovaks when I say that we do not want to pay new and higher taxes for Ursula von der Leyen. We want a levelling of the standard of living of our countries with the West, because we already have Western prices.",1.0
Danuše | Nerudová,PPE,EN,256847,,"Mr President, Commissioner, dear colleagues, Europe is losing ground. Years of investment shortfalls and excessive regulation are costing us our global competitiveness. The same goes for defence. There's war once again on our continent. We must be able to ensure security for our citizens. These are the challenges we face. And yes, we need more funding, but not at any cost. We need clear, simple and transparent rules in the EU budget. Today, too many – from local mayors to leading researchers – struggle to access EU funds. They face a wall of bureaucracy and that must change. We also need stable new sources of revenue, with sufficient budgetary reserve in order to be prepared for what comes next. But above all, managing the EU budget must remain a shared responsibility. How can national governments alone decide how to spend EU money in our regions without even asking what those regions need, and without Parliament's oversight? Mr Orbán will channel even more EU money to his pro-government friends. And if Mr Babiš returns to power, he will have even more free rein to continue his old games with EU funds. Mr Commissioner, we need a government that includes all actors and not to give all the keys to the national government.",Center-Right,Right,True,"Mr President, Commissioner, dear colleagues, Europe is losing ground. Years of investment shortfalls and excessive regulation are costing us our global competitiveness. The same goes for defence. There's war once again on our continent. We must be able to ensure security for our citizens. These are the challenges we face. And yes, we need more funding, but not at any cost. We need clear, simple and transparent rules in the EU budget. Today, too many – from local mayors to leading researchers – struggle to access EU funds. They face a wall of bureaucracy and that must change. We also need stable new sources of revenue, with sufficient budgetary reserve in order to be prepared for what comes next. But above all, managing the EU budget must remain a shared responsibility. How can national governments alone decide how to spend EU money in our regions without even asking what those regions need, and without Parliament's oversight? Mr Orbán will channel even more EU money to his pro-government friends. And if Mr Babiš returns to power, he will have even more free rein to continue his old games with EU funds. Mr Commissioner, we need a government that includes all actors and not to give all the keys to the national government.",0.5
Gabriele | Bischoff,S-D,DE,197435,,"Herr Präsident, werter Herr Kommissar, Kolleginnen und Kollegen! Ich möchte erst einmal den beiden Berichterstattern danken für die Arbeit. Wir schicken zwei ganz, ganz wichtige Messages, zwei wichtige Botschaften mit diesem Bericht. Das eine ist: Wir brauchen genug Ressourcen. Es ist eine sich wirklich dramatisch verändernde Welt, und wir haben enorme Investitionslücken. Deshalb: Einige Kollegen haben schon den Hamilton‑Moment beschworen. Aber auch: Wir brauchen wirklich nachhaltig ausreichend eigene Ressourcen. Und die zweite Botschaft, die gegeben wird, ist, dass wir das Geld vernünftig ausgeben müssen und korrekt. Und das bedeutet wirklich auf strukturelle, langfristig ausgerichtete und vor allen Dingen auch die Regionen einbeziehende Art und Weise, um die soziale und territoriale Kohäsion zu stärken. Und das Geld muss natürlich auch so ausgegeben werden, dass es unseren Zielen entspricht. Und hier möchte ich einen Punkt noch einmal erwähnen: die Kinderarmut. Wir brauchen die Child Guarantee wirklich, weil es eine Investition in unsere Zukunft ist, und wir werden nur nachhaltige Gesellschaften haben, wenn wir das auch sicherstellen.",Center-Left,Left,True,"Mr President, Commissioner, ladies and gentlemen. First of all, I would like to thank the two rapporteurs for their work. We are sending two very, very important messages with this report. One is that we need enough resources. It really is a dramatically changing world and we have enormous investment gaps. That's why some colleagues have already invoked the Hamilton moment. But also: we really need sufficient resources of our own on a sustainable basis. And the second message that is being given is that we have to spend the money wisely and correctly. And that really means in a structural, long-term manner and, above all, involving the regions in order to strengthen social and territorial cohesion. And, of course, the money must also be spent in such a way that it meets our objectives. And here I would like to mention one point again: child poverty. We really need the Child Guarantee because it is an investment in our future, and we will only have sustainable societies if we ensure this.",-0.5
Jana | Nagyová,PfE,CS,256843,,"Pane předsedající, vážení kolegové, vážený pane komisaři, nový víceletý finanční rámec se připravuje v časech, které historie evropské integrace nepamatuje. Co bylo včera, neplatí dnes. Proto tento rámec musí být mnohem více než pouhý rozpočet. Měl by to být nástroj na opětovné stmelení Evropy, na její posílení jak zevnitř, tak i zvenčí. To ale v tuto chvíli nelze dosáhnout větší centralizací rozpočtů a fondů, jak je diskutováno, ani nepřiměřeným ukládáním požadavků v souvislosti s čerpáním fondů na jednotlivé státy a už vůbec ne posilováním pravomocí nevolených úředníků Komise. Naopak, subsidiarita a solidarita musí zůstat hlavní pilíře, na které je možné se spolehnout. Z procesního hlediska je to sdílený management, který je léta ověřený funkční systém, který v sobě zahrnuje jak evropskou, tak národní dimenzi. Neměňme něco, co funguje. Co se týče priorit, kolegové, myslím si, zahrnuli téměř vše, co bych chtěla sama říct. A závěrem bych tudíž ráda jenom řekla, že si myslím, že není čas zavádět nové vlastní zdroje, protože ani ty dnešní neumíme dostatečně efektivně využít, a už vůbec nesouhlasím s dalšími novými dluhy, protože dnes je Evropa zadlužená nejvíce, jak byla v historii.",Right,Right,True,"Mr President, honourable colleagues, Commissioner, the new Multiannual Financial Framework is being prepared at a time unprecedented in the history of European integration. What was true yesterday is not true today. That is why this framework must be much more than a mere budget. It should be an instrument for bringing Europe together again, for strengthening it both from within and from without. However, this cannot be achieved at the moment by greater centralisation of budgets and funds, as is being discussed, or by imposing excessive requirements on individual states in relation to the use of funds, let alone by strengthening the powers of unelected Commission officials. On the contrary, subsidiarity and solidarity must remain the main pillars on which we can rely. From a procedural point of view, it is shared management, which is a time-tested functional system that incorporates both the European and national dimensions. Let us not change something that works. In terms of priorities, colleagues, I think, have covered almost everything I would like to say myself. So, in conclusion, I would just like to say that I do not think it is time to introduce new own resources, because we cannot use the ones we have today effectively enough, and I certainly do not agree with more new debts, because Europe is now the most indebted it has ever been.",1.0
Johan | Van Overtveldt,ECR,NL,125106,,"Voorzitter, we zitten volop in de aanloop naar het nieuwe MFK en dit mag uiteraard niet de zoveelste louter technische oefening zijn. Het betreft een fundamentele keuze over de koers die Europa wil varen, waarbij de status quo echt geen optie is. De Europese Unie is budgettair nog te sterk gebonden aan beleidskeuzes uit het verleden, aan verouderde budgetlijnen die een hypotheek leggen op de toekomst. Tegelijkertijd vereisen de uitdagingen van vandaag en morgen dringend actie. Willen we ruimte maken voor nieuwe prioriteiten, dan moeten we keuzes maken voor slanke, efficiënte instrumenten en gerichte investeringen die meerwaarde bieden. Vanzelfsprekend steunen wij de reeds aangekondigde klemtonen op hervormingen, investeringen in concurrentievermogen en een striktere focus van het externe beleid, maar dit mag geen excuus zijn voor een alsmaar uitdijende begroting. We kijken dus hoopvol richting modernisering van de begrotingsstructuur, meer flexibiliteit en crisisbestendigheid en dus ook naar de budgettaire vertaling van een overtuigend geopolitiek beleid. Als we het draagvlak voor de Europese Unie willen versterken, dan moet de Unie slagvaardiger worden. Geen institutioneel logge mastodont, maar een Unie die doet wat nodig is en die vooral beseft wat ze beter niet doet. Wat onze burgers en bedrijven verwachten is duidelijk : eenvoud, efficiëntie, zekerheid en ademruimte. Het nieuwe MFK is onze kans om die omslag te maken. Laat ons die kans alsjeblief grijpen.",Right,Right,True,"(NL) Mr. President, we are in the midst of the run-up to the new MFF, and this should obviously not be yet another purely technical exercise. It involves a fundamental choice about the direction Europe wants to take, where the status quo is really not an option. The European Union is still too much bound by past policy choices, by outdated budget lines that mortgage the future. At the same time, the challenges of today and tomorrow require urgent action. To make room for new priorities, we need to make choices for lean, efficient instruments and targeted investments that add value. Of course, we support the emphasis already announced on reforms, investments in competitiveness and a tighter focus of external policies, but this should not be an excuse for an ever-expanding budget. So we look hopefully towards modernization of the budget structure, more flexibility and crisis resilience, and thus also towards the budgetary translation of a convincing geopolitical policy. If we want to strengthen support for the European Union, it must become more decisive. Not an institutionally unwieldy mastodon, but a Union that does what is necessary and, above all, realizes what it had better not do. What our citizens and businesses expect is clear: simplicity, efficiency, certainty and breathing space. The new MFF is our chance to make that change. Please let us seize it.",0.7
